RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,2014,Frozen,Soundtrack,,2014,Children's
2,2014,Beyonce,Beyonce,,2013,R&B
3,2014,1989,Taylor Swift,,2014,Pop/Rock
4,2014,Midnight Memories,One Direction,,2013,Pop/Rock
5,2014,The Marshall Mathers LP 2,Eminem,,2013,Rap
6,2014,Pure Heroine,Lorde,,2013,Pop/Rock
7,2014,Crash My Party,Luke Bryan,,2013,Country
8,2014,PRISM,Katy Perry,,2013,Pop/Rock
9,2014,Blame It All On My Roots: Five Decades Of Influences,Garth Brooks,,2013,Country
10,2014,Here's To The Good Times,Florida Georgia Line,,2012,Country
11,2014,In The Lonely Hour,Sam Smith,,2014,Pop/Rock
12,2014,Night Visions,Imagine Dragons,,2012,Pop/Rock
13,2014,The Outsiders,Eric Church,,2014,Country
14,2014,Ghost Stories,Coldplay,,2014,Pop/Rock
15,2014,NOW 50,Various Artists,,2014,Pop/Rock
16,2014,Just As I Am,Brantley Gilbert,,2014,Country
17,2014,Wrapped In Red,Kelly Clarkson,,2013,Pop/Rock
18,2014,Duck The Halls: A Robertson Family Christmas,The Robertsons,,2013,Country
19,2014,Guardians Of The Galaxy: Awesome Mix Vol. 1,Soundtrack,,2014,Pop/Rock
20,2014,Partners,Barbra Streisand,,2014,Vocal
21,2014,x,Ed Sheeran,,2014,Pop/Rock
22,2014,Native,OneRepublic,,2013,Pop/Rock
23,2014,Bangerz,Miley Cyrus,,2013,Pop/Rock
24,2014,NOW 48,Various Artists,,2001,Pop/Rock
25,2014,Nothing Was The Same,Drake,,2013,Rap
26,2014,G I R L,Pharrell Williams,,2014,R&B
27,2014,5 Seconds Of Summer,5 Seconds Of Summer,,2014,Pop/Rock
28,2014,"Old Boots, New Dirt",Jason Aldean,,2014,Country
29,2014,Unorthodox Jukebox,Bruno Mars,,2012,Pop/Rock
30,2014,Platinum,Miranda Lambert,,2014,Country
31,2014,NOW 49,Various Artists,,2014,Pop/Rock
32,2014,The 20/20 Experience (2 Of 2),Justin Timberlake,,2013,Pop/Rock
33,2014,Love In The Future,John Legend,,2013,R&B
34,2014,ARTPOP,Lady Gaga,,2013,Pop/Rock
35,2014,V,Maroon 5,,2014,Pop/Rock
36,2014,Xscape,Michael Jackson,,2014,R&B
37,2014,AM,Arctic Monkeys,,2013,Pop/Rock
38,2014,Turn Blue,The Black Keys,,2014,Pop/Rock
39,2014,Based On A True Story ...,Blake Shelton,,2013,Country
40,2014,Bad Blood,Bastille,,2013,Pop/Rock
41,2014,Black Panties,R. Kelly,,2013,R&B
42,2014,The New Classic,Iggy Azalea,,2014,Rap
43,2014,Ultraviolence,Lana Del Rey,,2014,Pop/Rock
44,2014,Mastermind,Rick Ross,,2014,Rap
45,2014,Because The Internet,Childish Gambino,,2013,Rap
46,2014,My Everything,Ariana Grande,,2014,Pop/Rock
47,2014,Anything Goes,Florida Georgia Line,,2014,Country
48,2014,NOW 51,Various Artists,,2002,Pop/Rock
49,2014,Oxymoron,ScHoolboy Q,,2014,Rap
50,2014,Cheek To Cheek,Tony Bennett & Lady Gaga,,2014,Vocal
51,2014,Christmas,Michael Buble,,2011,Vocal
52,2014,Kidz Bop 25,Kidz Bop Kids,,2014,Children's
53,2014,She Looks So Perfect (EP),5 Seconds Of Summer,,2014,Pop/Rock
54,2014,2014 Grammy Nominees,Various Artists,,2014,Pop/Rock
55,2014,Lazaretto,Jack White,,2014,Pop/Rock
56,2014,Born To Die,Lana Del Rey,,2012,Pop/Rock
57,2014,The Wrong Side Of Heaven...Volume 2,Five Finger Death Punch,,2013,N/A
58,2014,Trigga,Trey Songz,,2014,R&B
59,2014,A Mary Christmas,Mary J. Blige,,2013,Holiday
60,2014,Morning Phase,Beck,,2014,Pop/Rock
61,2014,The Heist,Macklemore & Ryan Lewis,,2012,Rap
62,2014,X,Chris Brown,,2014,R&B
63,2014,Cole Swindell,Cole Swindell,,2014,Country
64,2014,Thrive,Casting Crowns,,2014,Pop/Rock
65,2014,Riser,Dierks Bentley,,2014,Country
66,2014,Sail Out (EP),Jhene Aiko,,2013,R&B
67,2014,The Hunting Party,Linkin Park,,2014,Pop/Rock
68,2014,Yours Truly,Ariana Grande,,2013,Pop/Rock
69,2014,"good kid, m.A.A.d city",Kendrick Lamar,,2012,Rap
70,2014,Hypnotic Eye,Tom Petty And The Heartbreakers,,2014,Pop/Rock
71,2014,Seen It All: The Autobiography,Jeezy,,2014,Rap
72,2014,The Big Revival,Kenny Chesney,,2014,Country
73,2014,WOW Hits 2014,Various Artists,,2013,Pop/Rock
74,2014,Britney Jean,Britney Spears,,2013,Pop/Rock
75,2014,Shakira.,Shakira,,---, 
76,2014,21,Adele,,2011,Pop/Rock
77,2014,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,,1984,Reggae
78,2014,Night Train,Jason Aldean,,2012,Country
79,2014,Testimony,August Alsina,,2014,R&B
80,2014,The Legend Of Johnny Cash,Johnny Cash,,2005,Country
81,2014,Save Rock And Roll,Fall Out Boy,,2013,Pop/Rock
82,2014,The Fault In Our Stars,Soundtrack,,2014,Pop/Rock
83,2014,All The Little Lights,Passenger,,2012,Pop/Rock
84,2014,Formula: Vol. 2,Romeo Santos,,2014,International
85,2014,Same Trailer Different Park,Kacey Musgraves,,2013,Country
86,2014,Baptized,Daughtry,,2013,Pop/Rock
87,2014,Doo-Wops & Hooligans,Bruno Mars,,2010,Pop/Rock
88,2014,Hail To The King,Avenged Sevenfold,,2013,Pop/Rock
89,2014,Mandatory Fun,"""Weird Al"" Yankovic",,2014,Comedy/Spoken
90,2014,"Love, Marriage & Divorce",Toni Braxton & Babyface,,2014,R&B
91,2014,BRINGING BACK THE SUNSHINE,Blake Shelton,,2014,Country
92,2014,Talk Dirty,Jason Derulo,,2014,Pop/Rock
93,2014,Blacc Hollywood,Wiz Khalifa,,2014,Rap
94,2014,My Krazy Life,YG,,2014,Rap
95,2014,NOW 52,Various Artists,,2014,Pop/Rock
96,2014,.5: The Gray Chapter,Slipknot,,2014,Pop/Rock
97,2014,The Truth About Love,P!nk,,2012,Pop/Rock
98,2014,Anomaly,Lecrae,,2014,Religious
99,2014,Sonic Highways,Foo Fighters,,2014,Pop/Rock
100,2014,Home For Christmas,Susan Boyle,,2013,Vocal
101,2014,High Hopes,Bruce Springsteen,,2014,Pop/Rock
102,2014,Pitch Perfect,Soundtrack,,2012,Pop/Rock
103,2014,Journey's Greatest Hits,Journey,,1988,Pop/Rock
104,2014,Kidz Bop 26,Kidz Bop Kids,,2014,Children's
105,2014,Days Of Gold,Jake Owen,,2013,Country
106,2014,Red,Taylor Swift,,2012,Pop/Rock
107,2014,Rewind,Rascal Flatts,,2014,Country
108,2014,Fuse,Keith Urban,,2013,Country
109,2014,Shatter Me,Lindsey Stirling,,2014,Pop/Rock
110,2014,The Hunger Games: Catching Fire,Soundtrack,,2013,Pop/Rock
111,2014,Lindsey Stirling,Lindsey Stirling,,2012,Pop/Rock
112,2014,Tailgates & Tanlines,Luke Bryan,,2011,Country
113,2014,True,Avicii,,2013,Electronic
114,2014,NOW That's What I Call Country: Volume 7,Various Artists,,2014,Country
115,2014,The Endless River,Pink Floyd,,2014,Pop/Rock
116,2014,I Am,Yo Gotti,,2013,Rap
117,2014,The Breeze - An Appreciation Of JJ Cale,Eric Clapton & Friends,,2014,Pop/Rock
118,2014,Random Access Memories,Daft Punk,,2013,Electronic
119,2014,PTXmas (EP),Pentatonix,,2012,Holiday
120,2014,The Eminem Show,Eminem,,2002,Rap
121,2014,The Cowboy Rides Away: Live From AT&T Stadium,George Strait,,2014,Country
122,2014,+,Ed Sheeran,,2017,Pop/Rock
123,2014,The Blessed Unrest,Sara Bareilles,,2013,Pop/Rock
124,2014,Disney Karaoke Series: Frozen (EP),Various Artists,,2019,Stage & Screen
125,2014,Babel,Mumford & Sons,,2012,Pop/Rock
126,2014,Storyline,Hunter Hayes,,2014,Country
127,2014,Sex And Love,Enrique Iglesias,,2014,Latin
128,2014,Sundown Heaven Town,Tim McGraw,,2014,Country
129,2014,Loved Me Back To Life,Celine Dion,,2013,Pop/Rock
130,2014,Blurred Lines,Robin Thicke,,2013,R&B
131,2014,1000 Forms Of Fear,Sia,,2014,Pop/Rock
132,2014,Out Among The Stars,Johnny Cash,,2014,Country
133,2014,747,Lady Antebellum,,2014,Country
134,2014,That Girl,Jennifer Nettles,,2014,Country
135,2014,Paramore,Paramore,,2013,Pop/Rock
136,2014,Promise To Love: Album IV,Kem,,2014,R&B
137,2014,Hozier,Hozier,,2014,Pop/Rock
138,2014,My Own Lane,Kid Ink,,2014,Rap
139,2014,Golden,Lady Antebellum,,2013,Country
140,2014,Reflektor,Arcade Fire,,2013,Pop/Rock
141,2014,The 1975,The 1975,,---, 
142,2014,The 20/20 Experience,Justin Timberlake,,2013,Pop/Rock
143,2014,YES!,Jason Mraz,,2014,Pop/Rock
144,2014,1000hp,Godsmack,,2014,Pop/Rock
145,2014,Welcome To The New,MercyMe,,2014,Religious
146,2014,Loaded: The Best Of Blake Shelton,Blake Shelton,,2013,N/A
147,2014,Lift Your Spirit,Aloe Blacc,,2013,R&B
148,2014,Souled Out,Jhene Aiko,,2014,R&B
149,2014,Paperwork,T.I.,,2014,Rap
150,2014,Love And War,Tamar Braxton,,2013,R&B
151,2014,The Best Of Nickelback: Volume 1,Nickelback,,2013,Pop/Rock
