RANK,ALBUM,ARTIST,DATE,GENRE
1,reputation,Taylor Swift,2017,Pop/Rock
2,Scorpion,Drake,2018,Rap
3,beerbongs & bentleys,Post Malone,2018,Rap
4,The Greatest Showman,Soundtrack,2017,Stage & Screen
5,÷ (Divide),Ed Sheeran,2017,Pop/Rock
6,Invasion Of Privacy,Cardi B,2018,Rap
7,ASTROWORLD,Travis Scott,2018,Rap
8,Stoney,Post Malone,2016,Rap
9,?,XXXTENTACION,2018,Rap
10,Culture II,Migos,2018,Rap
11,Evolve,Imagine Dragons,2017,Pop/Rock
12,"Black Panther: The Album, Music From And Inspired By",Soundtrack,2018,Stage & Screen
13,DAMN.,Kendrick Lamar,2017,Rap
14,KOD,J. Cole,2018,Rap
15,American Teen,Khalid,2017,R&B
16,Luv Is Rage 2,Lil Uzi Vert,2017,Rap
17,Kamikaze,Eminem,2018,Rap
18,Goodbye & Good Riddance,Juice WRLD,2018,Rap
19,17,XXXTENTACION,2017,Rap
20,This One's For You,Luke Combs,2017,Country
21,Hamilton: An American Musical,Original Broadway Cast,2015,Stage & Screen
22,Red Pill Blues,Maroon 5,2017,Pop/Rock
23,The Thrill Of It All,Sam Smith,2017,Pop/Rock
24,Tha Carter V,Lil Wayne,2018,Rap
25,Camila,Camila Cabello,2018,Pop/Rock
26,24K Magic,Bruno Mars,2016,R&B
27,Kane Brown,Kane Brown,2016,Country
28,Heartbreak On A Full Moon,Chris Brown,2017,R&B
29,The Beautiful & Damned,G-Eazy,2017,Rap
30,Rearview Town,Jason Aldean,2018,Country
31,Ctrl,SZA,2017,R&B
32,Revival,Eminem,2017,Rap
33,More Life,Drake,2017,Rap
34,Traveller,Chris Stapleton,2015,Country
35,Tell Me You Love Me,Demi Lovato,2017,Pop/Rock
36,Beautiful Trauma,P!nk,2017,Pop/Rock
37,A Star Is Born (Soundtrack),Lady Gaga & Bradley Cooper,2018,Stage & Screen
38,Sweetener,Ariana Grande,2018,Pop/Rock
39,Harder Than Ever,Lil Baby,2018,Rap
40,Perception,NF,2017,Rap
41,Life Changes,Thomas Rhett,2017,Country
42,Queen,Nicki Minaj,2018,R&B
43,Project Baby Two,Kodak Black,2017,Rap
44,Life Of A Dark Rose,Lil Skies,2017,Rap
45,Without Warning,"21 Savage, Offset & Metro Boomin",2017,Rap
46,Man Of The Woods,Justin Timberlake,2018,Pop/Rock
47,Views,Drake,2016,Rap
48,"My Dear Melancholy, (EP)",The Weeknd,2018,R&B
49,Starboy,The Weeknd,2016,R&B
50,ye,Kanye West,2018,Rap
51,hopeless fountain kingdom,Halsey,2017,Pop/Rock
52,Moana,Soundtrack,2016,Stage & Screen
53,Dua Lipa,Dua Lipa,---, 
54,What Makes You Country,Luke Bryan,2017,Country
55,Shawn Mendes,Shawn Mendes,2018,Pop/Rock
56,Odisea,Ozuna,2017,Latin
57,Pray For The Wicked,Panic! At The Disco,2018,Pop/Rock
58,Take Care,Drake,2011,Rap
59,Curtain Call: The Hits,Eminem,2005,Rap
